publication_date,report_date,country,province,health_zone,confirmed_cases,probable_cases,total_cases,confirmed_deaths,total_deaths,total_suspected_cases,new_deaths,new_cured,total_cured,new_suspected_cases,old_suspected_cases,confirmed_cases_change,probable_cases_change,total_cases_change,confirmed_deaths_change,total_deaths_change,total_suspected_cases_change,source
2019-03-19,2019-03-18,COD,North Kivu,Butembo,91,0,91,59,59,18,,,,,,0,0,0,1,1,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Goma,0,0,0,0,0,6,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Kalunguta,48,13,61,22,35,0,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Katwa,269,11,280,188,199,25,,,,,,2,0,2,1,1,9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Kayina,7,0,7,3,3,2,,,,,,1,0,1,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Kyondo,17,2,19,12,14,1,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Lubero,2,0,2,1,1,6,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Mabalako,91,16,107,54,70,0,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Mangurujipa,5,0,5,4,4,3,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Masereka,20,1,21,7,8,5,,,,,,4,0,4,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Musienene,6,1,7,2,3,22,,,,,,0,0,0,0,0,13,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Mutwanga,4,0,4,3,3,13,,,,,,0,0,0,0,0,13,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Oicha,31,0,31,19,19,7,,,,,,0,0,0,0,0,-11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,North Kivu,Vuhovi,19,0,19,11,11,6,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,Ituri,Komanda,27,9,36,9,18,11,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,Ituri,Mandima,30,3,33,19,22,0,,,,,,1,0,1,1,1,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,Ituri,Rwampara (Bunia),1,0,1,1,1,9,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-19,2019-03-18,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_19mar19
2019-03-18,2019-03-17,COD,North Kivu,Alimbongo,0,0,0,0,0,1,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Beni,226,9,235,119,128,54,,,,,,0,0,0,0,0,-12,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Biena,6,0,6,5,5,4,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Butembo,91,0,91,58,58,18,,,,,,1,0,1,1,1,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Goma,0,0,0,0,0,7,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Kalunguta,48,13,61,22,35,5,,,,,,1,0,1,1,1,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Katwa,267,11,278,187,198,16,,,,,,3,0,3,3,3,-8,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Kayina,6,0,6,3,3,3,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Kyondo,17,2,19,12,14,6,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Lubero,2,0,2,1,1,2,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Mabalako,91,16,107,54,70,2,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Mangurujipa,5,0,5,4,4,5,,,,,,0,0,0,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Masereka,16,1,17,7,8,7,,,,,,2,0,2,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Musienene,6,1,7,2,3,9,,,,,,0,0,0,0,0,-8,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Mutwanga,4,0,4,3,3,0,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Oicha,31,0,31,19,19,18,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,North Kivu,Vuhovi,19,0,19,11,11,5,,,,,,2,0,2,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,Ituri,Komanda,27,9,36,9,18,4,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,Ituri,Mandima,29,3,32,18,21,1,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,Ituri,Rwampara (Bunia),1,0,1,1,1,3,,,,,,0,0,0,0,0,-34,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-18,2019-03-17,COD,Ituri,Tchomia,2,0,2,2,2,2,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_18mar19
2019-03-17,2019-03-16,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Beni,226,9,235,119,128,66,,,,,,0,0,0,1,1,-31,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Biena,6,0,6,5,5,8,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Butembo,90,0,90,57,57,19,,,,,,0,0,0,1,1,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Goma,0,0,0,0,0,7,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Kalunguta,47,13,60,21,34,4,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Katwa,264,11,275,184,195,24,,,,,,3,0,3,1,1,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Kayina,6,0,6,3,3,2,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Kyondo,17,2,19,12,14,5,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Lubero,2,0,2,1,1,1,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Mabalako,91,16,107,54,70,2,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Mangurujipa,5,0,5,4,4,0,,,,,,0,0,0,0,0,-11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Masereka,14,1,15,7,8,6,,,,,,2,0,2,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Musienene,6,1,7,2,3,17,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Mutwanga,4,0,4,3,3,2,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Oicha,31,0,31,19,19,11,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,North Kivu,Vuhovi,17,0,17,11,11,6,,,,,,3,0,3,1,1,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,Ituri,Komanda,27,9,36,9,18,9,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,Ituri,Mandima,29,3,32,18,21,5,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,Ituri,Rwampara (Bunia),1,0,1,1,1,37,,,,,,0,0,0,0,0,31,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-17,2019-03-16,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_17mar19
2019-03-16,2019-03-15,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Beni,226,9,235,118,127,97,,,,,,0,0,0,0,0,27,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Biena,6,0,6,5,5,4,,,,,,0,0,0,0,0,-8,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Butembo,90,0,90,56,56,20,,,,,,1,0,1,0,0,-9,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Goma,0,0,0,0,0,7,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Kalunguta,47,13,60,21,34,3,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Katwa,261,11,272,183,194,28,,,,,,2,0,2,1,1,10,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Kayina,6,0,6,3,3,5,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Kyondo,17,2,19,12,14,3,,,,,,2,0,2,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Lubero,2,0,2,1,1,2,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Mabalako,91,16,107,54,70,2,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Mangurujipa,5,0,5,4,4,11,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Masereka,12,1,13,7,8,2,,,,,,1,0,1,1,1,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Musienene,6,1,7,2,3,21,,,,,,0,0,0,0,0,-6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Mutwanga,4,0,4,3,3,0,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Oicha,31,0,31,19,19,8,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,North Kivu,Vuhovi,14,0,14,10,10,2,,,,,,1,0,1,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,Ituri,Komanda,27,9,36,9,18,14,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,Ituri,Mandima,29,3,32,18,21,2,,,,,,0,0,0,1,1,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,Ituri,Rwampara (Bunia),1,0,1,1,1,6,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-16,2019-03-15,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_16mar19
2019-03-15,2019-03-14,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Beni,226,9,235,118,127,70,,,,,,0,0,0,0,0,11,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Biena,6,0,6,5,5,12,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Butembo,89,0,89,56,56,29,,,,,,1,0,1,0,0,12,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Goma,0,0,0,0,0,5,,,,,,0,0,0,0,0,5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Kalunguta,47,13,60,21,34,4,,,,,,0,0,0,1,1,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Katwa,259,11,270,182,193,18,,,,,,1,0,1,0,0,-16,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Kayina,6,0,6,3,3,3,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Kyondo,15,2,17,12,14,6,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Lubero,2,0,2,1,1,6,,,,,,0,0,0,0,0,4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Mabalako,91,16,107,54,70,6,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Mangurujipa,5,0,5,4,4,7,,,,,,0,0,0,0,0,7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Masereka,11,1,12,6,7,3,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Musienene,6,1,7,2,3,27,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Mutwanga,4,0,4,3,3,2,,,,,,0,0,0,0,0,-2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Oicha,31,0,31,19,19,9,,,,,,0,0,0,0,0,2,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,North Kivu,Vuhovi,13,0,13,10,10,7,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,Ituri,Komanda,27,9,36,9,18,13,,,,,,0,0,0,0,0,6,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,Ituri,Mandima,29,3,32,17,20,2,,,,,,1,0,1,3,3,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,Ituri,Nyankunde,1,0,1,1,1,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,Ituri,Rwampara (Bunia),1,0,1,1,1,11,,,,,,0,0,0,0,0,-3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-15,2019-03-14,COD,Ituri,Tchomia,2,0,2,2,2,0,,,,,,0,0,0,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_15mar19
2019-03-14,2019-03-13,COD,North Kivu,Alimbongo,0,0,0,0,0,0,,,,,,0,0,0,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Beni,226,9,235,118,127,59,,,,,,0,0,0,0,0,-4,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Biena,6,0,6,5,5,11,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Butembo,88,0,88,56,56,17,,,,,,0,0,0,2,2,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Goma,0,0,0,0,0,0,,,,,,0,0,0,0,0,-5,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Kalunguta,47,13,60,20,33,3,,,,,,1,0,1,0,0,-1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Katwa,258,11,269,182,193,34,,,,,,1,0,1,0,0,19,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Kayina,5,0,5,3,3,3,,,,,,0,0,0,0,0,1,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Kyondo,15,2,17,12,14,9,,,,,,-1,0,-1,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Lubero,2,0,2,1,1,2,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Mabalako,91,16,107,54,70,3,,,,,,1,0,1,0,0,0,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Mangurujipa,5,0,5,4,4,0,,,,,,0,0,0,0,0,-7,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Masereka,11,1,12,6,7,5,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Musienene,6,1,7,2,3,28,,,,,,0,0,0,0,0,16,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
2019-03-14,2019-03-13,COD,North Kivu,Mutwanga,4,0,4,3,3,4,,,,,,0,0,0,0,0,3,https://mailchi.mp/sante.gouv.cd/ebola_kivu_14mar19
